,Condition,Confluence,Glucose,ReplicateId,Time,Channel
28,ResistantMonoCulture,15.61761,Low,1,0,Red
29,ResistantMonoCulture,13.05575,Low,2,0,Red
30,ResistantMonoCulture,16.84692,Low,3,0,Red
31,ResistantMonoCulture,13.49684,Low,4,0,Red
76,ResistantMonoCulture,17.74367,Low,1,6,Red
77,ResistantMonoCulture,14.78766,Low,2,6,Red
78,ResistantMonoCulture,18.99698,Low,3,6,Red
79,ResistantMonoCulture,15.3804,Low,4,6,Red
124,ResistantMonoCulture,20.20505,Low,1,12,Red
125,ResistantMonoCulture,16.77291,Low,2,12,Red
126,ResistantMonoCulture,21.7087,Low,3,12,Red
127,ResistantMonoCulture,17.37045,Low,4,12,Red
172,ResistantMonoCulture,22.64955,Low,1,18,Red
173,ResistantMonoCulture,18.77245,Low,2,18,Red
174,ResistantMonoCulture,24.02185,Low,3,18,Red
175,ResistantMonoCulture,19.24417,Low,4,18,Red
220,ResistantMonoCulture,24.32064,Low,1,24,Red
221,ResistantMonoCulture,20.4196,Low,2,24,Red
222,ResistantMonoCulture,25.88131,Low,3,24,Red
223,ResistantMonoCulture,21.06802,Low,4,24,Red
268,ResistantMonoCulture,26.95233,Low,1,30,Red
269,ResistantMonoCulture,22.40778,Low,2,30,Red
270,ResistantMonoCulture,27.798890000000004,Low,3,30,Red
271,ResistantMonoCulture,22.91314,Low,4,30,Red
316,ResistantMonoCulture,28.81127,Low,1,36,Red
317,ResistantMonoCulture,24.28006,Low,2,36,Red
318,ResistantMonoCulture,29.63307,Low,3,36,Red
319,ResistantMonoCulture,24.82603,Low,4,36,Red
364,ResistantMonoCulture,31.13575,Low,1,42,Red
365,ResistantMonoCulture,25.92583,Low,2,42,Red
366,ResistantMonoCulture,31.50268,Low,3,42,Red
367,ResistantMonoCulture,26.64508,Low,4,42,Red
412,ResistantMonoCulture,32.29364,Low,1,48,Red
413,ResistantMonoCulture,27.38682,Low,2,48,Red
414,ResistantMonoCulture,32.802170000000004,Low,3,48,Red
415,ResistantMonoCulture,28.16486,Low,4,48,Red
460,ResistantMonoCulture,32.93535,Low,1,54,Red
461,ResistantMonoCulture,28.49508,Low,2,54,Red
462,ResistantMonoCulture,33.84875,Low,3,54,Red
463,ResistantMonoCulture,29.22908,Low,4,54,Red
508,ResistantMonoCulture,34.20507,Low,1,60,Red
509,ResistantMonoCulture,29.56365,Low,2,60,Red
510,ResistantMonoCulture,34.67275,Low,3,60,Red
511,ResistantMonoCulture,30.55548,Low,4,60,Red
556,ResistantMonoCulture,35.88265,Low,1,66,Red
557,ResistantMonoCulture,30.08583,Low,2,66,Red
558,ResistantMonoCulture,34.9005,Low,3,66,Red
559,ResistantMonoCulture,31.3178,Low,4,66,Red
604,ResistantMonoCulture,34.97368,Low,1,72,Red
605,ResistantMonoCulture,30.385590000000004,Low,2,72,Red
606,ResistantMonoCulture,34.78414,Low,3,72,Red
607,ResistantMonoCulture,31.74182,Low,4,72,Red
